CustomerID;Gender;DOB;District;ZIP;StreetID
106785;M;09/11/1934;5;3910;46362
910656;F;16/06/1974;5;3510;37856
913085;M;01/01/1900;5;3500;37513
658311;M;01/01/1900;1;2800;25758
681400;M;28/03/1952;1;2801;26360
120807;;01/01/1900;5;3560;39464
619016;M;22/04/1970;1;2530;23072
6737;M;01/01/1900;5;3530;38619
515045;M;11/04/1964;1;2570;24008
84564;;01/01/1900;5;3560;39425
229930;F;01/01/1900;5;3740;44351
76534;;01/01/1900;5;3500;37794
307340;M;11/09/1968;5;3550;38913
158536;M;01/01/1900;5;3530;38620
169663;F;27/11/1967;1;2018;13217
849572;M;01/01/1900;5;3920;46886
753778;M;01/01/1900;5;3500;37403
766847;M;15/10/1974;5;3590;40383
32999;M;01/01/1900;5;3570;39675
808194;M;01/01/1900;5;3540;38751
996304;M;01/01/1900;5;3600;41055
673836;F;27/10/1926;1;2000;13028
118416;;01/01/1900;5;3500;37643
829912;M;01/11/1966;5;3590;40317
91907;;01/01/1900;5;3630;41731
86254;M;24/05/1946;5;3582;40066
80187;M;14/07/1952;5;3520;38209
941562;F;01/01/1900;5;3740;44377
868609;M;01/01/1900;5;3510;37850
755565;M;01/01/1900;1;2390;20158
124054;F;01/01/1900;5;3660;42659
768448;M;15/07/1956;5;3520;38263
216602;M;01/01/1900;5;3630;41979
22525;;01/01/1900;5;3950;47581
94004;M;02/05/1963;5;3660;42604
994863;F;01/01/1900;5;3900;46119
21802;M;18/03/1939;5;3570;39594
86158;;01/01/1900;5;3582;39995
276941;F;30/01/1942;1;2018;13179
127178;;01/01/1900;5;3850;45703
925943;M;07/02/1943;5;3620;41566
892031;M;01/01/1900;5;3740;44293
775416;M;01/01/1900;5;3530;38345
958963;M;01/01/1900;1;2221;16238
679420;M;15/07/1945;1;2812;26465
775138;M;22/08/1939;1;2610;24822
46701;M;01/01/1900;5;3570;39590
674825;F;06/01/1951;1;2960;29693
56394;M;10/10/1945;5;3530;38418
654912;F;01/01/1916;1;2900;28115
992336;M;01/01/1900;5;3740;44455
84496;M;01/01/1900;5;3560;39461
89370;M;07/09/1941;5;3600;40622
996845;F;01/01/1900;5;3590;40329
97399;;01/01/1900;5;3700;43856
688548;M;18/07/1948;1;2980;30304
995855;M;21/10/1976;5;3590;40450
35206;M;01/01/1900;1;2920;28761
855200;F;01/01/1900;5;3530;38415
663231;M;29/12/1948;1;2242;16834
987808;F;01/01/1900;5;3740;44465
88255;;29/07/1958;5;3600;41085
640955;;22/08/1941;1;2280;17786
90947;;01/01/1900;5;3621;41604
63875;M;01/01/1900;5;3700;43718
85354;;01/01/1900;5;3570;39610
80869;;01/01/1900;5;3530;38350
591609;M;08/09/1962;5;3545;38794
57533;;01/01/1900;5;3660;42655
502433;M;24/04/1940;1;2540;23270
299903;M;01/01/1900;1;2250;17046
306415;M;29/10/1935;1;2328;18910
108898;M;31/10/1933;5;3940;47223
180225;;01/01/1900;5;3660;42653
372367;M;04/06/1928;1;2520;22846
18270;M;10/11/1978;5;3582;40002
657637;M;16/03/1941;1;2610;24691
793506;;01/01/1900;1;2650;25364
462878;M;07/04/1938;1;2300;18476
302847;F;01/01/1900;5;3511;109890
743298;M;17/06/1962;1;2580;24075
668492;M;14/08/1941;1;2460;21787
166418;M;01/01/1900;5;3940;47176
103862;;01/01/1900;5;3840;45639
77081;F;19/05/1920;5;3500;37342
653911;M;09/03/1930;1;2660;25547
608896;;26/07/1939;1;2650;25470
124718;;01/01/1900;5;3680;43114
128230;;01/01/1900;5;3930;47109
215157;M;01/01/1900;5;3550;39114
673513;M;15/02/1945;1;2980;30475
78833;M;01/01/1900;5;3510;37876
100579;;01/01/1900;5;3740;44455
944341;F;01/01/1900;1;2940;29177
92916;M;24/04/1932;5;3640;42274
740131;;01/01/1900;1;2547;23389
187958;;01/01/1900;5;3590;40318
89647;F;01/01/1900;5;3940;47193
658714;M;22/08/1944;1;2260;17286
136577;;01/01/1900;5;3740;44472
834314;M;01/01/1900;5;3920;46806
900737;M;24/08/1950;5;3650;42360
676441;M;08/02/1950;1;2960;29778
884484;F;01/01/1900;5;3800;45376
664705;M;11/06/1935;1;2600;24389
781988;M;01/01/1900;1;2070;14414
662701;M;27/03/1959;1;2960;29973
96717;M;01/11/1941;5;3680;43255
872250;M;07/08/1931;1;2650;25338
967060;F;01/01/1900;1;2170;15469
110062;F;16/11/1930;5;3950;47521
881258;M;01/01/1900;1;2350;19412
704808;;01/01/1900;1;2222;16325
141523;M;01/08/1951;1;2950;29315
135532;;01/01/1900;5;3920;46477
670155;M;22/01/1971;1;2222;16343
925005;M;01/04/1962;1;2440;21192
282493;M;27/08/1946;1;2370;19744
981275;F;01/01/1900;1;2990;30594
91244;;01/01/1900;5;3630;41768
461760;M;04/09/1937;1;2050;14103
240143;;01/01/1900;5;3511;37927
902382;F;28/11/1950;5;3600;40933
27050;F;01/01/1900;5;3700;43872
153239;M;01/01/1900;5;3980;48125
129707;;01/01/1900;5;3990;48445
297435;M;25/09/1973;1;2531;23244
111166;F;10/10/1960;5;3530;38610
76018;;01/01/1900;2;3290;35568
682105;M;30/11/1934;1;2980;30428
67296;M;01/01/1900;1;2400;20485
137890;M;01/01/1900;5;3510;37893
647661;M;01/01/1900;1;2470;21904
